zh,eng,opus-mt,mbart50,m2m,opus-mt-sim,mbart50-sim,m2m-sim
心室内差异传导,intraventricular aberrant conduction,Indoor Difference Transmission,Cardiovascular differential transmission,Internal differences in mind.,0.278049103,0.487828431,0.238486564
慢频率依赖性差传,slow freguency dependant aberrant conduction,Slow frequency depends on poor transmission.,Slow Frequency Dependency Difference,Slow frequency dependency,0.637509027,0.681159611,0.68750869
长间歇依赖性差传,long intermission dependant aberrant conduction,Long-term dependency transmission,Long Intermittent Dependency Difference,Long period of dependence.,0.483699704,0.62170219,0.585192662
短周长性差传,short permiter aberran conduction,Short-week sex transmission.,Short-circuit transmission,short period of long period.,0.427988825,0.599817605,0.516161953
长周长性差传,long permiter aberran conduction,"It's a long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long,",Long-circuit differential transmission,Long period of sexual disorder.,0.483472099,0.594614475,0.535375883
固定频率性差传,fixed frequency aberran conduction,Fixed frequency differential,Fixed frequency differential transmission,Fixed Frequency Difference,0.870359616,0.837279153,0.852293124
混合型差传,mixed aberrant conduction,Mixed Distribution,Mixed-type transmission,Mixed Differences,0.528468541,0.45851763,0.577969286
快频率依赖型差传,fast freguency dependant aberant conduction,Quick frequency depends on bad transmissions.,Fast Frequency Dependent Differential,Fast frequency dependency.,0.615377271,0.769167157,0.691505544
短间歇依赖型差传,fast freguency dependant aberant conduction,Short-term dependency transmission,Short Intermittent Dependent Differential,Short interval dependency.,0.498823057,0.650275068,0.542127346
A型差传,A mode aberrant conduction,A's a bad one.,Type A transmission,Type A disclosure,0.446752001,0.642754275,0.534700959
B型差传,B mode aberrant conduction,"""B"" is a bad one.",Type B transmission,Type B disclosure,0.355509512,0.646426498,0.545889359
C型差传,C mode aberrant conduction,C-class.,C-type transmission,Type C disclosure,0.363982795,0.581924793,0.549379693
进行性差传,progressive aberrant condluction,I'm having sex with you.,Transmission of sexual differences,conducting sexual disorders.,0.211900276,0.421209473,0.415239356
Brugarda程序鉴别方法,Brugarda programmed identification method,Brugarda program identification method,Brugarda Procedural Identification Method,Brugarda Program Identification,0.88744179,0.8496905,0.754738883
RS间距,RS interval,RS Spacing,RS distance,RS distance,0.692478981,0.705038653,0.705038653
Griffth方法,Griffth method,Griffth Method,Griffth method,The Griffth Method,0.999999963,1,0.885518998
室内相对干扰,intra-ventricular relative interference,Indoor relative disturbance,Indoor relative interference,Interference in the interior.,0.56676303,0.635189275,0.475365683
室内绝对干扰,intra-ventricular absolute interference,There's absolutely no interference in the house.,Absolute Indoor Interference,Total interference inside.,0.428516801,0.604816893,0.542690201
室房传导,ventricular-atrial conduction,Room transfer.,Room guide,Room guidelines.,0.171831879,0.117353256,0.136379271
室房阻滞,ventricular-atrial block,Room block.,Room blockage,Room blocked.,0.366940356,0.404695508,0.301197034
室-房传导时间恒定,ventricular-atrial conduction time constant,Room-room transfer time constant,Room-room transmission time constant,Room-room transmission time permanent.,0.475064598,0.500117868,0.446363717
窦房传导阻滞,sinoauricular block,Dial transfer block.,sinus conduction obstruction,The room is blocked.,0.69163732,0.276672437,0.557602745
一度窦房传导阻滞,first degree sinoauricular block,"At one point, there was a delay in the transfer of the dormitory.",One-time sinus conduction obstruction,One time the transmission stops.,0.752177792,0.543037929,0.696725715
二度窦房传导阻滞,second degree sinoauricular block,The second-degree dormitory's accelerator block.,Secondary sinus conduction obstruction,Two-time interruption of the room.,0.861091784,0.431871637,0.648525508
不完全性窦房传导阻滞,incomplete S-A block,Incomplete dispensary conductive blockage.,Incomplete sinus conduction obstruction,The incomplete transmission blockage.,0.48160434,0.389139702,0.649662029
二度Ⅰ型窦房传导阻滞,second degree type Ⅰ sinoauricular block,"Two-degree ""I"" disciplining barrier.",Secondary type I sinus conduction obstruction,Second-time I-type transmission blockage,0.677529959,0.643910346,0.735526828
文氏型窦房传导阻滞,Wenckebach S-A block,Wen-Chu's guidance block.,Vince-type sinus conduction obstruction,Vancouver transmission stops.,0.674367284,0.382353844,0.454426787
二度Ⅱ型窦房传导阻滞,second degree type Ⅱ sinoauricular block,Two-degree-two condolence transmission block.,Type II sinus-tube conduction obstruction,Second-degree type II transmission blockage.,0.761040649,0.554942415,0.824346563
莫氏型窦房传导阻滞,Mobitz type S-A block,The Moose Room's conductive blockage.,Muscular sinus conduction obstruction,Moore-type transmission blockage.,0.614191338,0.254359696,0.693650018
典型文氏型窦房传导阻滞,typical Wenckebach sinoauricular block,It's typical of the Man-Silve transmission block.,Typical Ventricular sinus conduction obstruction,Typical Winsy-type transmission blockage,0.715044008,0.458372729,0.675749346
非典型文氏型窦房阻滞,atypical Wenckebach sinoauricular block,It's not typical of a Man-Silve blockage.,Atypical Wenji sinus obstruction,Untypical Winsy-type shelter blocks.,0.433279622,0.595605654,0.563916936
二度Ⅲ型窦房传导阻滞,second degree type Ⅲ sinoauricular block,Two-degree-III transfer block.,Secondary III type sinus conduction obstruction,Second-degree type III transmission blockage.,0.740090231,0.589488676,0.822671736
高度窦房传导阻滞,advanced sinoauricular block,High-altitude transfer block.,High sinus conduction obstruction,High-level transmission stops.,0.608383438,0.383832983,0.547363183
几乎完全性窦房传导阻滞,almost complete sinoauricular block,It's almost complete.,Almost complete sinus conduction obstruction,Nearly complete transmission blocks.,0.811504759,0.599943051,0.875832963
完全性窦房传导阻滞,complete sinoauricular block,Full sexual cell transfer block.,Complete sinus conduction obstruction,Complete transmission blockage.,0.709927943,0.471212264,0.66600929
三度窦房传导阻滞,third degree sinoauricular block,Three-degree guidance block.,3-degree sinus conduction obstruction,Three-degree room transmission stops,0.812633456,0.568529549,0.750798286
变异型文氏型窦房阻滞,variant Wenckebach sinoauricular block,Variation Ventilated Dimple Blocking,Variable Ventricular sinus obstruction,Variety-type Vancouver shutdown,0.504676426,0.357585762,0.3955996
房内传导阻滞,intra-atrial block,In-house transmission block.,Internal conduction obstruction,Internal transmission stops.,0.511724765,0.595022561,0.430720657
心房内传导阻滞,intra-atrial block,In-heart conductive blockage.,Intravascular conduction obstruction,Internal interference interference.,0.584320758,0.555324696,0.418802763
完全性心房内传导阻滞,complete intra-atrial conduction block,A complete intra-psychiatric transmission barrier.,Complete intravenous conduction obstruction,Comprehensive interference in the heart,0.674396497,0.76225377,0.526906456
不完全性房内传导阻滞,incomplete intra-atrial block,Incomplete transmission blockage in the room.,Incomplete indoor conductivity resistance,Imperfect in the room.,0.573492353,0.474965165,0.371587456
局限性不全性房内传导阻滞,circumscribed and incomplete intra-atrial block,The limitations of incomplete intra-room transmission block.,Limited incomplete indoor conductivity obstruction,Restriction of incomplete transmission in the room,0.734547738,0.635738197,0.603053729
局限性完全性房内阻滞,circumscribed and complete intra-atrial block,The limit is total sexual blockage.,Limited and Complete Internal Blockage,Restricted integrity in the room.,0.611479817,0.710078068,0.57374067
完全性房间阻滞,complete interatrial block,Full room block.,Complete room obstruction,Complete room blocked.,0.770078874,0.670996574,0.745991878
心房传导延缓,atrial conduction delayed,Ceremonial transfer delay,Cardiac conduction delay,Heart transmission delay.,0.436851677,0.902879356,0.512233027
心房内文氏现象,intra-atrial Wenckebach phenomenon,Wen's phenomenon in the heart.,Inner ventricular phenomenon,The heart phenomenon.,0.360906578,0.726536824,0.481123807
心房肌电麻痹,atrial muscle electric paralysis,Cerebral muscle palsy.,Myocardial electrical paralysis,The heart muscle.,0.73240144,0.842649122,0.647526507
心房间传导阻滞,interatrial block,Heart room transmission block.,Cardiovascular conduction obstruction,The heart room is blocked.,0.684646797,0.254237056,0.54683406
房间传导阻滞,intra-atrial block,Room transfer block.,Room conduction obstruction,The room is blocked.,0.474454213,0.554681594,0.351443576
左房型房内传导阻滞,left atrial blook,There's a transmission barrier in the left room.,Left ventricular intraconductance obstruction,The left-wing room transmission blocks.,0.249691389,0.756705956,0.259615212
右房型房内传导阻滞,right atrial block,There's a delay in transmission in the right room.,Right ventricular intraconductance obstruction,The right room transmission blockage.,0.57086443,0.78338209,0.647519621
持续性心房静止,sustained atrial silence,Continuous cardiac static.,Persistent cardiac arrest,Continuous stagnation.,0.639272324,0.717532642,0.518075495
永久性心房静止,perpetual atrial silence,Permanent cardiac immobilization,Persistent cardiac arrest,Permanent heart stops.,0.560387677,0.622234091,0.519620389
暂时性心房静止,temporary atrial silence,"For the moment, the heart is still.",Temporary cardiac arrest,The temporary heart stops.,0.462001183,0.750281059,0.630239442
房间束传导阻滞,interatrial bundle block,The room's a guide block.,Room bundle conduction delay,The room blocked.,0.569955648,0.665623115,0.509201911
结间束传导阻滞,nodal bundle block,Constraint Transfer Block,Interconnected beam conduction delay,Intermediate transmission stops.,0.650012935,0.567321989,0.472863669
窦室传导,sino-ventricular conduction,Constabulary transmission.,sinus conduction,The room guide.,0.229630241,0.712585347,0.093408028
弥慢性完全性心房肌传导阻滞,diffuse complete atrial myocardia block,Chronic complete heart muscle transfer retardation.,Chronic complete ventricular muscle transmission obstruction,Chronic full-sex heart muscle transmission obstructions,0.651770762,0.768845644,0.601427085
房室传导阻滞,atrio-ventricular block,Room transfer block.,Room conduction obstruction,The room transmission stops.,0.506636608,0.560712871,0.401337719
生理性房室传导阻滞,physiological A-V block,Physiological room transfer barrier.,Physiological chamber transmission obstruction,Physical room transmission blockage.,0.636565424,0.509814165,0.566066294
功能性房室传导阻滞,functional A-V block,Functional room transfer blockage,Functional chamber conduction delay,Functional room transmission blocks,0.567886008,0.467937855,0.66525421
阻滞性房室分离,block atrial-ventricular dissociation,Retarded room separation.,Stasis chamber separation,Disconnecting Room Separation,0.326490216,0.431698783,0.370642188
心率依赖性房室传导阻滞,heart rate dependent A-V block,Heart rate dependent room transfer block.,Heart rate-dependent ventricular conduction obstruction,Heart Rate Dependency Room Transmission Blocks,0.859991319,0.697602771,0.801684351
心率依赖性阵发性房室传导阻滞,heart rate dependent paroxysmal A-V block,Heart rate depends on stubble room transfer block.,Heart rate-dependent phasing ventricular conduction blockage,Heart Rate Dependency Transmission Room,0.765100727,0.75208653,0.75814374
频率性房室传导阻滞,frequency A-V block,Frequency room transfer block.,Frequency room conduction delay,Frequency room transmission blocks,0.739323026,0.5922921,0.695175917
暂时性房室传导阻滞,temporary A-V block,Temporary room transfer block.,Temporary chamber transmission obstruction,Temporary room transmission blocking.,0.736052955,0.509557833,0.652497401
先天性房室传导阻滞,congenital atrio-ventricular block,Congenital room transfer block.,Congenital ventricular conduction obstruction,The first natural room transmission blocks.,0.663443898,0.834426282,0.401078597
一度房室传导阻滞,first degree atrio-ventricular block,"At one point, the room was blocked.",One-time room conduction delay,The room is blocked.,0.6280365,0.720722603,0.600017684
隐性一度房室传导阻滞,latent first degree atrio-ventricular block,Invisible room transfer block.,Invisible one-time chamber transmission blockage,Hidden one room transmission blocking.,0.606436105,0.690725235,0.605071518
房室传导延迟,atrio-ventricular conduction delay,There's been a delay in the room transfer.,Room transmission delay,The room delayed.,0.367602293,0.518697087,0.381271482
传导延缓程度不定型一度房室传导阻滞,delayed conduction adventitious first degree A-V block,Indeterminate delay in transmission.,Indeterminate degree of transmission delay once room transmission delay,Transmission Delayed Degree Unregulated One Room Transmission Delayed,0.682988637,0.746474721,0.737914599
传导延迟递增型一度房室传导阻滞,delayed conduction increasing first degree A-V block,Delayed incremental room transfer block.,Transmission Delay Increased Type One Room Transmission Delay,Transmission Delayed Delayed Delayed Delayed Delayed,0.764756097,0.750814254,0.603251369
传导延缓程度固定型一度房室传导阻滞,delayed conduction fixative first degree A-V block,Transfer delay fixed-type first room transfer retardation,Fixed type of one-time chamber transmission delay,Transmission Delay Level Fixed One Room Transmission Delay Stop,0.759298752,0.753100642,0.687169604
显性一度房室传导阻滞,apparent first degree atrio-ventricular block,Prominent time room transfer block.,Significant one-time chamber conductivity delay,Visibility once room transmission blocking,0.700666518,0.757296849,0.618463975
P-R间期延长,P-R interval prolongation,P-R Inter-P-R Extensions,P-R Interim Extension,P-R period extended,0.780624229,0.75160959,0.814427707
文氏型一度房室传导阻滞,Wenckebach first degree A-V block,Wen's one-time room transfer block.,Wenji-type one-time chamber transmission delay,One-time room transmission blockage.,0.762593493,0.728957069,0.682713454
文氏型二度房室传导阻滞,Wenckebach second degree A-V block,Wen's second-degree room transmission block.,Wenji-type two-degree chamber transmission delay,Two-degree room transmission blockage.,0.827819986,0.774181623,0.728712603
一度Ⅰ型房室传导阻滞,first degree type Ⅰ atrio-ventricular block,"At one time, there was a delay in the transfer of room I.",One-time Type I chamber conductivity delay,One-time I type room transmission blocks,0.689457359,0.769784615,0.765958553
一度Ⅱ型房室传导阻滞,first degree type Ⅱ atrio-ventricular block,"At one time, there was a delay in the transfer of room II.",One-time II-type chamber conductivity delay,One-time type II room transmission blockage,0.690420181,0.766149838,0.770521757
一度Ⅲ型房室传导阻滞,first degree type Ⅲ atrio-ventricular block,"At one time, there was a blockage in room III.",Type III Room Transmission Delay,One-time type III room transmission blockage,0.691418516,0.650675195,0.774667913
变异型一度房室传导阻滞,variant first degree atrio-ventricular block,Variation time room transfer block.,Variable one-time chamber conductivity resistance,Variable one-time room transmission blockage,0.689888894,0.681991392,0.709613932
二度房室传导阻滞,second degree atrio-ventricular block,Second-degree room conductive blockage.,Two-degree chamber transmission delay,2nd room transmission blocking.,0.788668698,0.756774149,0.596099281
二度Ⅰ型房室传导阻滞,second degree type Ⅰ atrio-ventricular block,Two-degree-I room conductive blockage.,Type II chamber conductivity resistance,Two-degree I room transmission blocking,0.765369514,0.61649866,0.754983495
莫氏Ⅰ型房室传导阻滞,Mobitz type Ⅰ atrio-ventricular block,Mox I's transmission block.,Morse I-type chamber conductivity resistance,Moshin's Type I Room Transmission Blocks,0.513800924,0.604420305,0.622732845
二度Ⅱ型房室传导阻滞,second degree type Ⅱ atrio-ventricular block,Two-degree-two room transmission block.,Type II chamber conductivity resistance,2nd type room transmission blockage,0.768751424,0.61649866,0.708822634
莫氏Ⅱ型房室传导阻滞,Mobitz type Ⅱ atrio-ventricular block,The Mox II room's transmission block.,Morse II-type chamber conductivity resistance,Mouse Type II Room Transmission Blocks,0.533052883,0.591538457,0.642765693
莫氏Ⅲ型房室传导阻滞,Mobitz type Ⅲ A-V block,Moe's room III transmission block.,Morse III-type chamber conductivity resistance,Mouse Type III Room Transmission Blocks,0.649796086,0.539613548,0.65515517
2∶1房室传导阻滞,2∶1 atrio-ventricular block,Two: 1 room transmission block.,2 : 1 Room Transmission Delay,2 to 1 room transmission blocking,0.496020815,0.40086438,0.453294401
二度Ⅲ型房室传导阻滞,second degree type Ⅲ atrio-ventricular block,Two-degree-III room conductive blockage.,Type II III chamber conductivity resistance,Second-degree III room transmission blockage,0.764218483,0.582228779,0.787943083
假文氏型二度房室传导阻滞,pseudo Wenckebach type second degree atrio-ventricular block,Fake Wen's second-degree room transmission block.,False Wen-type two-degree chamber transmission delay,2nd-degree room transmission blockage,0.742279528,0.794889475,0.719898051
房室倒文氏现象,atrio-ventricular inverted Wenckebach phenomenon,Wen Wen's phenomenon in the room.,Household reversal phenomenon,The room of the phenomenon,0.305123728,0.560550328,0.42087939
三度结下传导阻滞,third degree infra-nodal block,Three-degree conductive blockage.,Three-degree conduction delay,Three times ended the transmission block.,0.729105223,0.759828189,0.62156519
不完全性房室传导阻滞,incomplete atrio-ventricular block,Incomplete room transfer block.,Incomplete chamber conduction obstruction,The incomplete room transmission blocks.,0.659010478,0.672363341,0.621856467
高度房室传导阻滞,advanced atrio-ventricular block,High-altitude room transfer block.,High room conductivity delay,High room transmission blocking.,0.597881865,0.49117382,0.538978112
混合性房室传导障碍,mixed atrio-ventricular conduction disturbance,Mixed room transfer disorder,Mixed Room Transmission Disorder,Mixed Room Transmission Disadvantages,0.573345321,0.586272216,0.473196639
混合性房室传导延缓,mixed atrio-ventricular conduction delay,Mixed room transfer delay,Mixed chamber transmission delay,Mixed room transmission delay.,0.604212946,0.657523651,0.589428485
几乎完全性房室传导阻滞,almost complete atrio-ventricular block,It's almost a complete room transfer barrier.,Almost complete chamber conductivity resistance,Almost complete room transmission blocks.,0.706140625,0.630219003,0.740891936
完全性房室传导阻滞,complete atrio-ventricular block,Full room transfer block.,Complete chamber conductivity resistance,Complete room transmission blocks.,0.606602805,0.514639758,0.637757366
交替性房室传导的文氏周期,Wenckebach period of alternating A-V conduction,The cycle of the alternation of the room.,The Wenji Period of Interchangeable Room Transmission,The Change Room Conversion Cycle,0.697899989,0.721551277,0.639443989
完全性房室阻滞伴心室停搏,complete atrio-ventricular block with ventricular standstill,Full-sex room blocker of coronary cardiac arrest.,Complete ventricular obstruction accompanied by cardiac arrest,Complete room blocking accompanying heart attack,0.705833791,0.804558619,0.607716909
下行性隐匿性房室传导,descending concealed A-V conduction,Subtractive subtitling room guidance.,Lower-Level Hidden Room Transmission,The hidden living room.,0.245335797,0.616188111,0.502617073
房室传导阻滞合并隐匿性传导,atrio-ventricular block associated with concealed conduction,Room transfer block merger covert conduct.,Room Transmission Suspension Combined with Hidden Transmission,Room transmission blocks and hidden transmission.,0.585780745,0.617140572,0.630258477
房室结内阻滞,atrial-ventricular node block,The room's blocked.,Internal blockage,The room is blocked.,0.306259361,0.509640614,0.342596
房室结下阻滞,infra atrial-ventricular block,The room's blocked.,Room closing blockage,The room stops.,0.27512716,0.434138751,0.262981704
近端延迟区,near-late area,Near-end delay area,Near end delay zone,The nearest delay area.,0.899592442,0.724539751,0.723054185
远端阻滞区,far-block area,Remote barrier area,Remote blockage zone,Distant blockage area.,0.68149251,0.507310242,0.696552088
前向传导阻滞,anterior conduction block,Forward Transfer Block,Front-directed impedance,Transmission stops.,0.537611798,0.426242195,0.398935419
企图性文氏型房室传导阻滞,“type attempt”Wenckebach atrial-ventricular block,Attempted conductive blockage in the Mansung room.,Tentative Ventricular Room Transmission Delay,Trying to send the Winsh-type room to block.,0.53955646,0.666815133,0.501959819
功能性窦房结功能不全,functional sinoatrial insufficiency,It's not fully functional.,Functional sinus conjunction dysfunction,Functional function is incomplete.,0.234727525,0.646598894,0.449162618
左中隔支传导阻滞,left-centre separate bundle block,Left middle division conductive block,Left-middle isolation branch transmission obstruction,The left side is blocked.,0.742528697,0.741138961,0.75247645
A型间隔支阻滞,type A separate bundle block,Blocking of type A,Type A interval support obstruction,Type A interference blocked.,0.837560906,0.762332367,0.761323245
B型间隔支传导阻滞,type B separate bundle block,B-spacing guidance block,Type B intersection support conduction resistance,Type B interference transmission blocks,0.720575279,0.72725021,0.787803358
无休止性结内折返性心动过速,incessant A-V nodal reciprocating tachycardia,Unstoppable intimacy velocity in the middle of the knot.,Non-stop intraconvulsive refractional heart rate,Uninterrupted reversal of heart.,0.409624154,0.484826176,0.487593373
分层阻滞现象,different levels block phenomenon,Tier-blocking phenomenon,Layer blocking phenomenon,Divisional blocking phenomenon,0.689688539,0.717590083,0.656477337
多层阻滞现象,multilayer block phenomenon,Multilayered blockage,Multilayer obstruction,Multi-Level Obstacles,0.580812032,0.672691003,0.374590112
变异型室相性窦性心律不齐,variant sinoarrhythmia,He's got a different heart rate for mutants.,Inconsistency in the cytostatic sinuses of a modified type,Differential variation of the room.,0.267045951,0.356088889,0.331705667
潜伏性房室传导阻滞,latent atrial-ventricular block,Subterfuge room transfer block.,Hidden Room Transmission Delay,The dormitory transmission stops.,0.396296543,0.414593777,0.34573763
假性房室传导阻滞,pseudo A-V block,Fake room transfer block.,False chamber transmission obstruction,Fake room transmission blocking.,0.638667895,0.437103801,0.565330231
心室脱漏,ventricular drop,The ventricular leak.,Cardiac ventricular leakage,The room disappears.,0.764848268,0.833678678,0.277794379
一度室房传导阻滞,first degree V-A block,"At one point, there's a delay in the transfer of the room.",One-time room conduction delay,One room transmission stops.,0.761870672,0.665116744,0.625845707
隐性一度室房传导阻滞,latent first degree ventricular-atrial block,Invisible room transfer block.,Invisible one-time chamber transmission obstruction,Hidden one room transmission blocking.,0.514406106,0.63766546,0.523283473
一度Ⅰ型室房传导阻滞,first degree type Ⅰ V-A block,"At one point, the I room was blocked.",One-time Type I chamber conductivity delay,Type I room transmission blocking.,0.740814972,0.769692141,0.715500847
一度Ⅱ型室房传导阻滞,first degree type Ⅱ V-A block,"At one time, there was a delay in the transfer of room II.",One-time II-type chamber conductivity delay,One-time Type II room transmission blockage,0.770235295,0.764579379,0.763048438
一度Ⅲ型室房传导阻滞,first degree type Ⅲ V-A block,"At one time, there was a blockage in room III.",Type III Room Transmission Stasis at Once,One-time type III room transmission blockage,0.751650413,0.671719956,0.763031794
文氏型一度室房传导阻滞,Wenckebach first degree V-A block,Wen Cao's guidance block.,Wenji-type one-time chamber transmission obstruction,One-time room transmission blockage.,0.535417651,0.713037854,0.682713441
二度室房传导阻滞,second degree ventricular-atrial block,The second-degree room's conductive blockage.,Two-degree chamber transmission delay,Two-degree room transmission blocks,0.676665079,0.657718347,0.623153831
二度Ⅰ型室房传导阻滞,second degree type Ⅰ ventricular-atrial block,Two-degree-I room transmission block.,Type II chamber conductivity resistance,Two-degree I room transmission blocking,0.640669125,0.593753155,0.649284132
二度Ⅱ型室房传导阻滞,second degree type Ⅱ ventricular-atrial block,Two-degree-two room transmission block.,Type II chamber conductivity resistance,Two-degree room transmission blocks,0.644419101,0.593753155,0.655862139
二度Ⅲ型室房传导阻滞,second degree type Ⅲ ventricular-atrial block,Two-degree-III room conductive blockage.,Type II III chamber conductivity resistance,Second-degree III room transmission blockage,0.679471433,0.562619744,0.714123816
三度室房传导阻滞,third degree ventricular-atrial block,The third-degree room's conductive blockage.,Three-degree chamber transmission impedance,Three-degree room transmission blocks,0.668095349,0.647095853,0.618293153
三度房室传导阻滞伴室律不齐,third degree atrioventricular block with ventricular arrhythmia,The third room leads to a disarray in the company room.,Inconsistency of the three-degree chamber conduction obstruction with the chamber law,Three-degree room transmission blocking accommodation.,0.444632852,0.634976137,0.487215908
特发性双束支纤维化,idiopathic bilateral branch fibrosis,Special bibes fibrosis,Specialized double bundle support fibrosis,Specific double fiber,0.690208044,0.591590193,0.284757174
原发性房室传导阻滞,primary atrio-centricular block,Congenital room transfer block.,Primary chamber conduction obstruction,Primary room transmission blocks,0.652260466,0.495764851,0.722575444
生理性室房传导阻滞,physiological V-A block,Physiological room transfer barrier.,Physiological chamber transmission obstruction,Physical room transmission blockage.,0.636565428,0.509814168,0.566066298
房室束传导阻滞,atrio-ventricular bundle block,Room beams are blocked.,Room beam conduction delay,The room is blocked.,0.42819415,0.532734723,0.446706543
心室内传导阻滞,intra-ventricular block,Insider transfer block.,Cardiovascular conduction obstruction,Internal transmission stops.,0.471225367,0.601379768,0.431175727
室内传导阻滞,intra-ventricular block,Indoor transfer blockage,Indoor conductivity delay,Internal transmission stops.,0.433793006,0.366825219,0.431175727
不定型室内传导阻滞,unstable intra-ventricular block,Indeterminate indoor transfer blockage,Indeterminate indoor conductivity impedance,Unregulated internal transmission blocks,0.498386012,0.405206242,0.539767167
生理性心室内传导阻滞,physiological intraventricular block,Physiopathic indoor conductive blockage.,Physiological intracardiac conduction obstruction,Physiological interference in the heart.,0.523475498,0.688798939,0.698717075
束支传导阻滞,bundle branch block,Confusion transfer blockage.,String support conduction obstruction,The transmission stops.,0.492521426,0.533851969,0.504324051
束支脱漏搏动,bundle branch dropped beats,Blast leaks.,Leakless pulse of bundles,Fighting out of scratch.,0.429330906,0.616152986,0.551461551
阻滞性单束支传导延缓,block nature odd bundle branch conduction delay,Detrusive blockback transmission delay,Suspension of impedant single-band support transmission,Disturbance of the disturbance.,0.632531815,0.606018984,0.638548666
阻滞性单束支传导中断,block nature odd bundle branch conduction break,Detrusive blockback transmission aborted.,Delayed single-band relay transmission interruption,Disturbance of the uninterruptible transmission,0.494822927,0.61699604,0.581937544
功能性束支阻滞,functional bundle branch block,Functional beam blockage,Functional bundle support blockage,Functional interruption.,0.628213898,0.802946065,0.613386908
单束支传导阻滞,unilateral bundle branch block,Single-bound conductive blockage,Single-band supported conduction delay,Single transmission stops.,0.559457253,0.550095624,0.492453463
左束支传导阻滞,left bundle branch block,Left beam conductive block.,Left-beam support conduction obstruction,The left side is blocked.,0.699492034,0.619466469,0.727652816
左束支传导延迟,left bundle branch delayed,Left beam transfer delay.,Left beam support transmission delay,The left side delayed.,0.67997439,0.635728133,0.760826748
右束支传导阻滞,right bundle branch block,Right beam conductive blockage.,Right-beam support conduction delay,The right side is blocked.,0.61004466,0.638536765,0.739913572
部分性右束支传导阻滞,partial right bundle branch block,Partial right beam conductive blockage,Partial right beam support conduction obstruction,Particular right-wing transmission blocks.,0.681791118,0.727415763,0.750851135
部分性左支束支传导阻滞,partial left bundle branch block,Partial left beam transmission block.,Partial left branch beam transmission obstruction,partial left-wing transmission blockage.,0.783306713,0.78712723,0.74072326
间歇性束支传导阻滞,intermittent bundle branch block,Intermittent beaming conductive blockage,Intermittent beam support conduction delay,Intermediate transmission blocking.,0.573448757,0.668001244,0.645066267
间歇性右束支阻滞,intermittent right bundle branch block,Intermittent right beam blockage,Intermittent right beam support obstruction,Intermediate right blocking.,0.717689882,0.749583203,0.740892105
间歇性左束支阻滞,intermittent left bundle branch block,Intermittent left beam blockage,Intermittent left beam support obstruction,Intermediate left blocks.,0.720298228,0.751013303,0.755991984
交替性束支传导阻滞,alternating bundle branch block,Alternating beams conductive blockage.,Interchangeable beam support conduction delay,Replacement of the blockage.,0.638381444,0.579160025,0.535751371
交替性左束支阻滞,alternating left bundle branch block,Alternating left beam blockage.,Interchangeable left beam support obstruction,Replacement of the left block.,0.746307338,0.656975184,0.742278247
交替性右束支阻滞,alternating right bundle branch block,Rotational right beam blockage.,Interchangeable right beam support obstruction,Replacement of the right block.,0.655484942,0.659154296,0.748230197
体位性左束支阻滞,postural left bundle branch block,Positional left beam blockage,Positional left beam support obstruction,The left-wing body blocks.,0.63888003,0.686957608,0.684987166
体位性右束支阻滞,postural right bundle branch block,Positional right beam blocker.,Positional right-beam support obstruction,The right-wing body blocks.,0.630923645,0.669863136,0.693494115
心率无关型间歇性左束支阻滞,cardiac rate irrelevant type with intermittent left bundle branch block,Heart rate irrelevant intermittent left beam blockage,Intermittent left beam support obstruction of heart rate-independent type,Heart rate unrelated intermittent left-wing blocks,0.852698751,0.886330076,0.866864049
心率无关型间歇性右束支阻滞,cardiac rate irrelevant type with intermittent right bundle branch block,Heart rate irrelevant intermittent right beam blockage,Intermittent right beam support obstruction of heart rate-independent type,Heart rate unrelated intermittent right cord blockage,0.856588755,0.888607886,0.862579168
位相型束支传导阻滞,phase bundle branch block,Physician beam conductive blockage,Phase-type beam support conduction delay,Type of transmission stops.,0.467695883,0.705491231,0.600615802
3位相束支传导阻滞,phase 3 bundle branch block,3-part entanglement transmission block.,3-phase beam support conduction delay,Three interconnected transmission stops.,0.721335788,0.738443597,0.610225807
4位相束支传导阻滞,phase 4 bundle branch block,4-part entanglement transmission block.,4-bit phase beam support conduction delay,The four sides are blocked.,0.721557114,0.747059333,0.609702418
频率依赖性束支传导阻滞,rate dependent bundle branch block,Frequency dependent beam transfer blockage,Frequency dependent beam support conduction delay,Frequency dependency transmission blockage,0.704175087,0.702201149,0.613735707
频率依赖性右束支传导阻滞显示病理性Q波,freguent dependent right bandle branch conductional block appearance pataological Q wave,The frequency depends on the right beams to transmit the pathological Q-waves.,Frequency-dependent right beam support conduction obstruction shows pathological Q wave,Frequency dependency right-wing transmission blocks show pathological Q waves,0.843849411,0.821721059,0.855280639
频率性束支传导阻滞,frequency bundle branch block,Frequency beam conductive blockage,Frequency beam support conduction delay,Frequency transmission blocks.,0.645498882,0.720977534,0.768043589
